niftycode,pid
CORDSCABLE,946785
COROMANDEL,18080
COSMOFILMS,947349
CCHHL,945156
COUNCODOS,947168
COX&KINGS,18081
CRAFTSMAN,1171990
CREATIVEYE,947311
CREATIVE,1008673
CREDITACC,1090470
CARERATING,39856
CREST,947224
CRISIL,18082
CGPOWER,18083
CROMPTON,978762
CSBBANK,1155852
CUBEXTUB,947281
CUMMINSIND,18084
CUPID,989628
CYBERMEDIA,976197
CYBERTECH,946715
DABUR,18086
DALMIASUG,946869
DAMODARIND,985840
DANGEE,1096024
DATAMATICS,946636
DBCORP,18487
DBSTOCKBRO,946629
DBREALTY,18085
DCMFINSERV,987518
DCMNVL,1161574
DCMSRMIND,987521
DCW,18088
DECCANCE,947223
DEEPAKFERT,18090
DEEPAKNTR,947225
DEEPINDS,1173175
DEEPENR,947169
DELTACORP,18091
DELTAMAGNT,947272
DEN,18486
DENORA,947280
DCBBANK,18093
DEVYANI,1176321
DFMFOODS,994739
DHANBANK,18096
DHANUKA,947101
DHARSUGAR,946862
DHUNINV,946877
DTIL,945154
DIAPOWER,946689
DICIND,947391
DGCONTENT,1161575
DNAMEDIA,1057253
DBL,986320
DCAL,1052348
DISHTV,18097
DIVISLAB,18099
DIXON,1046345
DLF,18100
DLINKINDIA,947319
DODLA,1174436
DOLAT,987556
DOLLAR,1008992
DONEAR,947053
DPABHUSHAN,1161572
DPWIRES,1131262
DRCSYSTEMS,1171734
DREDGECORP,18102
DRREDDY,18101
DWARKESH,946637
DSSL,946773
DUCON,946838
DYNAMATECH,18103
DYNPRO,1031159
EASTSILK,946741
EASUNREYRL,947226
EASEMYTRIP,1171272
ECLERX,18105
EDELWEISS,18106
EDUCOMP,18107
EICHERMOT,18108
EIDPARRY,18109
EIHOTEL,18104
EIHAHOTELS,946832
EIMCOELECO,947001
ELECON,39858
ELECTCAST,18111
ELECTHERM,947002
ELGIEQUIP,18112
ELGIRUBCO,947228
EMAMILTD,18113
EMAMIREAL,946884
EMAMIPAP,987584
EMCO,947440
EMKAY,946829
EMMBI,947102
ENDURANCE,992809
ENERGYDEV,946638
ENGINERSIN,18114
MAHEPC,950689
KIRIINDUS,947007
EQUITAS,976491
EQUITASBNK,1166989
ERIS,1013402
EROSMEDIA,39860
ESABINDIA,18117
ESCORTS,18118
ESSARSHPNG,941197
EPL,18120
ESTER,947103
EVEREADY,946663
EVERESTIND,947004
EKC,18121
EXCELINDUS,947104
EXIDEIND,18122
EXXARO,1175850
SCHAEFFLER,18124
FAIRCHEMOR,1168660
FCSSOFT,946787
FDC,18123
FMGOETZE,18126
FIEMIND,947172
FILATEX,947284
63MOONS,18127
FINEORG,1087961
FCL,954950
FINCABLES,18128
FINPIPE,18129
FSL,18131
FLEXITUFF,100246
FORCEMOT,987635
FORTIS,18132
THEINVEST,1031161
FOSECOIND,947321
FLFL,946664
FMNL,946788
FEL,18327
FRETAIL,986634
FSC,1056487
FCONSUMER,39470
GABRIEL,100247
GALAXYSURF,1061939
GALLISPAT,947232
GALLANTT,947230
AJRINFRA,18139
GANECOS,946574
GANESHHOUC,946938
GANGAFORGE,1161579
GANGESSECU,1031163
GRSE,1096184
GARFIBRES,947005
GDL,18141
GATI,100248
GAYAHWS,1088098
GAYAPROJ,947105
GEECEE,947173
GEEKAYWIRE,1043252
GENESYS,946778
GENUSPAPER,945715
GENUSPOWER,946731
GEOJITFSL,18142
GFLLIMITED,1155042
GHCL,18136
GANDHITUBE,947031
GICHSGFIN,946939
GILLANDERS,946867
GILLETTE,18145
GINNIFILA,947174
GKWLIMITED,947450
GLAND,1167243
GLENMARK,18149
GLOBALVECT,946790
GLOBE,1031104
GLOBUSSPR,947233
GMBREW,947285
GMMPFAUDLR,1073767
GMRINFRA,18150
GNA,991130
GOACARBON,947370
GPIL,946864
GODFRYPHLP,18151
GODHA,1081582
GODREJAGRO,1052259
GODREJCP,18152
GODREJIND,18153
GODREJPROP,18154
GOENKA,946769
GOKEX,947107
GOKULAGRO,976199
GOKUL,946770
GOLDENTOBC,947231
GOLDIAM,946839
OLECTRA,946940
GOLDTECH,946791
GOODLUCK,976198
GPTINFRA,985920
GFSTEELS,1152779
GRANULES,947234
GRAPHITE,18155
GRASIM,18156
GRAUWEIL,987716
GRAVITA,39866
GESHIP,18144
GREAVESCOT,18158
PROINDIA,946728
GREENLAM,945932
GREENPANEL,1153658
GREENPLY,946941
GRINDWELL,947108
GRINFRA,1174886
GROBTEA,985923
GRPLTD,945714
GSS,947323
GTL,18160
GTLINFRA,18159
GTNTEX,947324
GTPL,1013403
GUFICBIO,947055
GUJALKALI,18161
GAEL,18167
GUJAPOLLO,946665
FLUOROCHEM,18162
GUJGASLTD,18171
GIPCL,18163
GLFL,946737
GMDCLTD,18164
GNFC,18165
GPPL,18169
GUJRAFFIA,1161580
GSCLCEMENT,946840
GSFC,18168
GSPL,18170
GOCLCORP,39864
GULFOILLUB,946666
GULPOLY,945155
GAL,947215
HAPPSTMNDS,1165976
HARRMALAYA,946943
HATHWAY,18173
HATSUN,946942
HAVELLS,18174
HBLPOWER,947056
HBSL,947109
HCL-INSYS,18175
HCLTECH,18176
HDFCAMC,1089258
HDFCBANK,18177
HDFCLIFE,1054973
HEG,18178
HEMIPROP,1167507
HERANBA,1170230
HERCULES,947175
HERITGFOOD,100253
HEROMOTOCO,18179
HESTERBIO,948381
HEXATRADEX,947350
HGINFRA,1066606
HIKAL,945930
HILTON,946886
HFCL,18182
HSCL,946680
HIMATSEIDE,18181
HINDALCO,18187
HINDCON,1073768
HIRECT,947176
HGS,946701
HAL,1072997
HINDCOMPOS,946887
HCC,18183
HINDCOPPER,39868
HNDFDS,987745
HMVL,946702
HINDMOTORS,947110
HINDOILEXP,18188
HINDPETRO,18184
HINDUNILVR,18185
HINDZINC,18186
HINDNATGLS,946721
HISARMETAL,994833
JCHAC,946714
HITECHGEAR,947286
HITECHGEAR,947286
HITECH,963740
HITECHCORP,947325
HMT,39869
HOMEFIRST,1169124
HONDAPOWER,946667
HONAUT,18189
HLVLTD,18190
HUDCO,1010531
HDFC,18191
HOVS,947326
HPL,991198
ANDHRACEMT,947343
ANDHRSUGAR,947365
HSIL,18193
HTMEDIA,18194
HUBTOWN,17976
ICEMAKE,1057255
ICICIBANK,18198
ICICIGI,1050153
ICICIPRULI,991131
ISEC,1073007
ICRA,39870
IDBI,18199
IDEA,18200
IDFCFIRSTB,960765
IDFC,18219
IFBAGRO,946944
IFBIND,947235
IFCI,18195
IFGLEXPOR,1055942
IGARASHI,946843
IGPL,947006
IIFLSEC,1153103
IIFLWAM,1155940
IL&FSENGG,18201
IVC,946824
IL&FSTRANS,39871
IMPEXFERRO,947112
INDLMETER,947371
DHANI,18203
YAARII,946654
INDIANHUME,946703
IMFA,100255
IOC,18197
IOB,18211
IRCTC,1153181
INDTERRAIN,946743
DPSCLTD,947087
ITDC,994740
INDIGOPNTS,1169005
INDOCO,947178
ICIL,946842
NIPPOBATRY,947287
INDORAMA,18212
INDOSOLAR,947392
INDOSTAR,1075518
INDOTECH,946795
INDOTHAI,946888
INDOWIND,947179
IGL,18213
INDRAMEDCO,18214
INDSWFTLAB,18202
INDSWFTLTD,947393
INDUSINDBK,18215
INFIBEAM,976203
INFOBEAN,1009363
NAUKRI,18216
INFOMEDIA,947177
CYIENT,18218
INOXLEISUR,18221
IWEL,1174935
INOXWIND,950032
INSECTICID,946979
INTELLECT,943638
INTENTECH,987831
INDIGO,961701
SUBCAPCITY,1161583
ISFT,946794
INVENTURE,946725
IOLCP,946652
IPCALAB,18222
IRB,18223
IRCON,1096083
IRISDOREME,1165841
JUMPNET,987839
ISGEC,987841
ISMTLTD,947441
ITC,18224
ITDCEM,946844
ITI,947452
IVP,947453
IZMO,947443
JAGRAN,18227
JAGSONFI,987868
JAIBALAJI,18228
JAICORPLTD,18229
JISLJALEQS,18230
JAINSTUDIO,947312
JPASSOCIAT,18231
JPPOWER,18232
JAMNAAUTO,946845
JASH,1156273
JAYAGROGN,946889
JAYNECOIND,946705
JAYBARMARU,947059
JPINFRATEC,18234
JAYSHREETEA,18235
JBCHEPHARM,18236
JBFIND,39873
JBMA,947403
JETAIRWAYS,18237
JHS,976204
JIKIND,976205
JINDRILL,946763
JINDALPHOT,947328
JPOLYINVST,44468
JINDALPOLY,18238
JINDALSAW,39874
JSWHL,18239
JSL,18240
JINDALSTEL,18241
JINDWORLD,947114
JITFINFRA,997130
JKIL,100262
JKLAKSHMI,39876
JKPAPER,947404
JKTYRE,18242
JMCPROJECT,946980
JMFINANCIL,18243
JMTAUTOLTD,947405
JOCIL,947434
JSWENERGY,18244
JSWSTEEL,18226
JUBLFOOD,18247
JUBLINDS,946945
JUBLINGREA,1171882
JUBLPHARMA,18246
JMA,948382
JUSTDIAL,100244
JYOTHYLAB,39877
JYOTISTRUC,18248
KABRAEXTRU,946745
KAJARIACER,18251
KAKATCEM,946823
KALPATPOWR,18252
KALYANIFRG,947288
KICL,946640
KSL,947239
KALYANKJIL,1171605
KAMATHOTEL,946981
KAMDHENU,947236
KANANIIND,947040
KANORICHEM,946677
KANPRPLA,1169441
KANSAINER,18253
KAPSTON,1081583
KARDA,1072995
KARMAENG,947329
KARURVYSYA,18256
KAYA,959092
KAUSHALYA,946674
KSCL,39880
KAVVERITEL,946706
KCP,18249
KCPSUGIND,946815
KDDL,969120
KEC,18257
KEERTI,1031166
KEI,947237
KELLTONTEC,969121
KERNEX,946821
KESORAMIND,18259
KKCL,100263
KEYFINSERV,987145
KHADIM,1054974
KHAICHEM,987931
KHAITANLTD,947271
KHANDSE,976207
KILITCH,946948
KINGFA,993254
KBIL,946632
KECL,946641
KIRLFER,987973
KIRLOSIND,946890
KIRLOSENG,39879
KITEX,947238
KMSUGAR,947181
KNRCON,947060
KOKUYOCMLN,947289
KOLTEPATIL,100264
KOPRAN,947427
KOTAKBANK,18260
KOTHARIPET,946796
KOTHARIPRO,947115
KOTARISUG,946863
KOVAI,987956
KPIGLOBAL,1120703
BSOFT,18261
KPITTECH,1130904
KPRMILL,947406
KRBL,947442
KREBSBIO,1034491
KRIDHANINF,961989
KRISHANA,997131
KIMS,1174941
KRSNAA,1175851
KSB,18262
KUANTUM,987914
KIOCL,993992
LFIC,950033
LAXMIMACH,18266
LAKPRE,946697
LAMBODHARA,945157
LAOPALA,947330
LT,18268
LASA,1052433
LAURUSLABS,994422
LXCHEM,1171604
LEMONTREE,1073145
LGBBROSLTD,946875
LGBFORGE,947394
LIBAS,994834
LIBERTSHOE,947290
LICHSGFIN,18269
LIKHITHA,1166564
LINCOLN,962428
LINCPEN,946573
LSIL,986040
LPDC,946768
LOKESHMACH,947182
LOTUSEYE,946678
LOVABLE,39881
L&TFH,39882
LUMAXTECH,946797
LUMAXIND,947116
LUPIN,18270
LUXIND,961990
BCG,953115
LYKALABS,947395
LYPSAGEMS,42686
MAANALU,947243
MACPOWER,1073769
LODHA,1172092
MCL,996057
MADHAV,946922
MADHUCON,947062
MBAPL,1152781
RAMCOCEM,18272
MADRASFERT,947010
MAGADSUGAR,1031168
POONAWALLA,39883
MAGNUM,947186
MAHASTEEL,985841
MGL,985843
MTNL,18293
MAHAPEXLTD,1161597
MAHSEAMLES,18275
MAHSCOOTER,100265
MAHESHWARI,995114
MAHINDCIE,946746
MHRIL,39884
MAHLIFE,18274
MAHLOG,1054814
M&M,18273
MAITHANALL,947242
MAJESCO,959093
MALUPAPER,947117
MANAKALUCO,950035
MANAKCOAT,950034
BKMINDST,950037
MANAKSIA,947408
MANAKSTEEL,950036
MANALIPETC,946846
MANAPPURAM,39888
TMRVL,994426
MANGLMCEM,947185
MANGALAM,946921
MGEL,1161596
MANGTIMBER,946708
MRPL,18292
MANGCHEFER,100269
MANINFRA,100268
MANORAMA,1097594
MANUGRAPH,947187
MARALOVER,947244
MARATHON,991133
MARICO,18276
MARINE,1111722
MARKSANS,947183
MARUTI,18277
MASFIN,1052417
MASKINVEST,992812
MASTEK,18278
MATRIMONY,1046336
MAWANASUG,947291
MAXHEALTH,1165844
MFSL,18279
MAXIND,1165845
MAXVIL,985842
VIPCLOTHNG,947009
MAYURUNIQ,947118
MAZDOCK,1166566
MAZDA,993003
MBLINFRA,946949
MCDHOLDING,947063
MCLEODRUSS,18280
MBECL,946798
MEGASOFT,947409
MELSTAR,946876
MENONBE,946575
MEP,953116
MERCATOR,18281
METROPOLIS,1123976
SASTASUNDR,946734
MINDACORP,947423
MINDAIND,947119
MINDTECK,986128
MINDTREE,18283
MIRCELECTR,18284
MIRZAINT,946950
MIDHANI,1073003
MITTAL,1161595
MMFL,947352
MMP,1081585
MMTC,39887
MODIRUBBER,1052998
MODISNME,988100
MOHITIND,947120
MOIL,39889
MOKSH,1061915
MOLDTKPAC,945929
MOLDTECH,985844
JSWISPL,18285
MONTECARLO,943637
MORARJEE,947065
MOREPENLAB,946891
MOTHERSUMI,18288
MOTILALOFS,18289
MOTOGENFIN,946771
MPHASIS,18290
MPSLTD,947456
MRO-TEK,947418
BECTORFOOD,1168040
MSPL,947151
MSTCLTD,1123587
MTARTECH,1171208
MTEDUCARE,100270
MUKANDENGG,947269
MUKTAARTS,947373
MCX,39886
ADANIPORTS,18294
MUNJALAU,946799
MUNJALSHOW,947331
MURUDCERA,946892
RADIOCITY,997884
MUTHOOTCAP,959094
MUTHOOTFIN,39890
NDGL,986635
NACLIND,1008675
NAGAFERT,985286
NAGREEKCAP,946626
NAGREEKEXP,947122
NAHARCAP,946761
NAHARINDUS,946692
NAHARPOLY,947123
NAHARSPING,946893
NGIL,1088117
NSIL,946800
JAIPURKURT,992629
NH,962571
NATCOPHARM,39891
NATHBIOGEN,946874
NATIONALUM,18299
NBCC,100271
NFL,18298
NBVENTURES,18300
NAVINFLUOR,946691
NAVKARCORP,959095
NAVNETEDUL,18301
NAZARA,1171607
NCC,18302
NCLIND,947245
NDRAUTO,1165846
NECLIFE,946951
NELCAST,947419
NELCO,18303
NEOGEN,1129392
NESCO,39894
NESTLEIND,30059
NETWORK18,18304
NEULANDLAB,947032
NDTV,18305
NEWGEN,1061916
NIACL,1054813
NEXTMEDIA,947188
NLCINDIA,18306
NHPC,18307
NIITLTD,18296
COFORGE,39893
NILAINFRA,953898
NILASPACES,1116499
NILKAMAL,18308
NIRAJ,988158
BALKRISHNA,958333
NITCO,947435
NITINFIRE,39892
NITINSPIN,947246
NITIRAJ,1010632
NKIND,987146
NMDC,18309
NOCIL,947436
NOIDATOLL,18310
NORBTEAEXP,946925
NECCLTD,969122
NOVARTIND,39837
NRAIL,1006192
NRBBEARING,947332
NTPC,18297
NUCLEUS,946709
NURECA,1170001
OBEROIRLTY,18312
DALBHARAT,947396
OILCOUNTUB,946952
OIL,18313
ONGC,18311
OMAXAUTO,947376
OMAXE,18314
OMKARCHEM,946642
OMINFRAL,946749
ONELIFECAP,946710
ONEPOINT,1057257
ONMOBILE,39895
ONWARDTEC,946954
OPTIEMUS,1034493
OPTOCIRCUI,18315
OFSS,18316
ORBTEXP,42687
ORCHPHARMA,18318
ORICONENT,958334
ORIENTABRA,947124
OCCL,963741
ORIENTHOT,18319
ORIENTALTL,947155
ORIENTBELL,947353
ORIENTCEM,947293
ORIENTELEC,1081587
GREENPOWER,946847
ORIENTPPR,18320
ORIENTLTD,947334
RHIM,946953
ORTEL,948383
ORTINLAB,959096
OSWALAGRO,988207
BINDALAGRO,18323
PAEL,947457
PAGEIND,18325
PALASHSECU,1031170
PALREDTEC,946955
PANACEABIO,18326
PANACHE,1008993
PANAMAPET,947126
ABFRL,946826
PARAGMILK,978763
PARACABLES,946711
PAR,1135891
PARSVNATH,18329
PATELENG,18330
PATINTLOG,946643
PATSPINLTD,947294
PBAINFRA,947011
PCJEWELLER,39896
PDSMFL,942589
PILITA,947012
PGIL,946750
PEARLPOLY,947249
PENINLAND,18332
PENIND,947066
PKTEA,959098
PERSISTENT,18333
PETRONET,18334
PFIZER,18335
PGEL,947191
PHILIPCARB,946848
PIDILITIND,18337
PILANIINVS,961991
PIONDIST,946895
PIONEEREMB,946894
RNAVAL,18338
PEL,18339
PITTIENG,947067
PLASTIBLEN,947013
PNBGILTS,947397
PNBHOUSING,993203
PNCINFRA,953899
PODDARHOUS,1008676
POKARNA,985845
POLYCAB,1127928
POLYMED,945158
POLYPLEX,39897
PONNIERODE,946982
PFC,18341
POWERGRID,18342
POWERMECH,959100
PPAP,947192
PRAENG,946644
PRAJIND,18343
SETUINFRA,946957
PRAKASH,39898
PRAKASHSTL,947127
DIAMONDYD,1050747
PRAXIS,1061918
PRECAM,963737
PRECWIRE,946849
PRECOT,947194
PREMEXPLN,985846
PREMIER,947420
PREMIERPOL,947091
PRESSMN,946897
PRESTIGE,18344
PRICOLLTD,947429
PFOCUS,18488
PRIMESECU,947128
PRINCEPIPE,1156016
PRSMJOHNSN,18345
PNC,946818
PROZONINTU,946751
PSPPROJECT,1010662
PTC,18348
PFS,100259
PTL,947195
3PLAND,946959
PDMJEPAPER,976208
AMJLAND,946816
PUNJABCHEM,946676
PNB,18350
PSB,39899
PUNJLLOYD,18349
PURVA,18351
PVP,947335
PVR,100260
QUESS,985922
QUICKHEAL,963739
RADAAN,946698
RMCL,947071
RADICO,18352
RAILTEL,1169992
RVNL,1123975
RAIN,39900
MOHOTAIND,946868
ARENTERP,988320
RAJESHEXPO,18353
RAJMET,1165848
ROML,947296
RAJGLOWIR,988322
RAJRAYON,946900
RAJSREESUG,946827
RAJTV,100261
RALLIS,18354
RAMASTEEL,959102
RAMCOIND,18355
RAMCOSYS,947299
RKFORGE,946961
RAMKY,946899
RANASUG,947355
RBL,947014
RANEENGINE,947015
RANEHOLDIN,947297
RML,947344
RCF,18357
RATNAMANI,946718
RTNINDIA,942787
RTNPOWER,945787
RKDL,946753
RVHL,1168662
RAYMOND,18358
RBLBANK,987147
REDINGTON,18359
REFEX,947129
RELAXO,947130
RELCAPITAL,18361
RCOM,18362
RHFL,1050728
RELIANCE,18367
RELINFRA,18364
NAM-INDIA,1053096
RPOWER,18366
RELIGARE,18368
REMSONSIND,946987
REPCOHOME,947017
REPRO,947354
RESPONIND,946851
REVATHI,947070
RICOAUTO,946898
RITES,1087962
RKEC,1161604
ROHITFERRO,947131
ROLEXRINGS,1175845
ROLLT,993300
ROLTA,18369
ROSSARI,1163280
ROSSELLIND,947298
ROUTE,1165978
ROHLTD,946962
RPGLIFE,947072
RPPINFRA,947018
RSSOFTWARE,946983
RSWM,947444
RSYSTEMS,946754
RUBYMILLS,947377
RUCHINFRA,946878
RUCHIRA,947250
RUCHI,18370
REPL,1090787
RUPA,947270
RECLTD,18371
RUSHIL,947336
PAISALO,39903
SABEVENTS,989490
SADBHAV,18375
SADBHIN,959103
SAGCEM,947300
SAGARDEEP,978764
GULFPETRO,947252
BESTAGRO,976512
SAKAR,992814
TEMBO,1096020
SAKSOFT,947421
SAKHTISUG,947304
SAKUMA,947253
SALASAR,1024889
SALONA,985847
SALSTEEL,947356
SALZERELEC,961992
SAMBHAAV,947212
SANCO,947132
SANDHAR,1073005
S&SPOWER,1161615
SANGAMIND,947310
SANGHIIND,947075
SANGHVIMOV,947255
SANGINITA,997885
SANOFI,18016
SANWARIA,947023
SARDAEN,946828
SAREGAMA,947254
SARLAPOLY,946713
SASKEN,946830
SATIA,961721
SATIN,959105
SOTL,946755
SBC,1165785
SBICARD,1158869
SBILIFE,1050746
SCHAND,1008771
SEAMECLTD,947430
SELAN,946693
SEPOWER,947410
SEQUENT,969123
SERVOTECH,1043255
VEDL,18377
00092242Y100,41237
SESHAPAPER,946871
SANDESH,947438
SETCO,985848
SEYAIND,988475
SHAHALLOYS,947358
SHAKTIPUMP,947019
SHALBY,1056488
SHALPAINTS,947198
SHALIWIR,988511
SHANKARA,1006193
SHANTIGEAR,18378
SHARDACROP,947197
SHARDAMOTR,959106
SHAREINDIA,1053032
SFL,994424
SHEMAROO,942341
SHILPAMED,947199
SCI,18380
SHIVAMAUTO,947196
SHIVAMILLS,1072004
SHIVATEX,947302
PRITIKAUTO,976253
SHK,961703
SHOPERSTOP,18381
SHRADHA,1057258
SHREECEM,18383
SHREDIGCEM,988587
SHREEPUSHK,976209
SHREERAMA,946854
RAMANEWS,946905
SHREERAM,988586
RENUKA,18384
SHRENIK,1031173
SHREYANIND,946926
SHREYAS,946764
SHRIRAMCIT,39904
SHRIRAMEPC,947359
SHRIPISTON,985849
SRTRANSFIN,18386
SHYAMCENT,958335
SHYAMMETL,1174329
SHYAMTEL,947301
SICAL,947200
SIEMENS,18387
SIGIND,947074
SILGO,1111723
SILINV,947201
SILLYMONKS,1061919
SIMBHALS,947133
SIMPLEXINF,18388
SINTERCOM,1072003
SINTEX,18389
SPTL,1031715
SIRCA,1081620
SITINET,39907
SIYSIL,947021
SJVN,39908
SKFINDIA,18390
SKIL,946965
SKIPPER,953900
SKMEGGPROD,946657
SMARTLINK,946670
SMCGLOBAL,1170379
SMLISUZU,947398
SMSLIFE,1043257
SMSPHARMA,946966
SNOWMAN,941683
SOBHA,18392
SOLARA,1088101
SOLARINDS,39909
SOMANYCERA,947202
SOMATEX,946681
SDBL,946717
SOMICONVEY,986041
SONACOMS,1174629
JTEKTINDIA,18393
SONATSOFTW,18394
