niftycode,pid
SPIC,946621
SOUTHWEST,1072005
SPANDANA,1142512
SPAL,986321
SPECIALITY,946805
SPENCERS,1120699
SPENTEX,947024
ADROITINFO,960767
SPICEJET,39840
DIGISPICE,947256
SPLIL,947257
SPMLINFRA,947378
EXPLEOSOL,942342
SREEL,947313
SRHHYPOLTD,946684
SREINFRA,18396
SRF,18397
SABTN,946682
HAVISHA,1161618
SRIPIPES,946967
STAMPEDE,986042
STARCEMENT,1030977
SIL,947088
STARPAPER,947136
SBIN,18376
SAIL,18399
STEELCITY,997132
STEELXIND,1031175
SSWL,946969
STEL,947305
SWSOLAR,1142509
STERTOOLS,947258
STLTECH,18402
SGL,976211
SORILINFRA,946807
STOVEKRAFT,1169192
STAR,18403
STYLAMIND,988627
INEOSSTYRO,946822
SUBEXLTD,947437
SUBROS,947431
SUDARSCHEM,946656
SUMEETINDS,947076
SUMICHEM,1156881
SUMIT,1111725
SUMMITSEC,947077
SUNDRMBRAK,946804
SUNCLAYLTD,947135
SUNDARMFIN,18407
SUNDARAM,947025
SUNDRMFAST,18408
SUNFLAG,946772
SPARC,39910
SUNPHARMA,18405
SUNTECK,18409
SUNTV,18406
SUPERHOUSE,947360
SUPERSPIN,946906
SUPRAJIT,946907
SUPREMEENG,1111726
SUPREMEIND,18410
SUPPETRO,18411
SURANASOL,942785
SURANAT&P,942786
SURYALAXMI,946645
SURYAROSNI,18412
SURYODAY,1172082
SUTLEJTEX,946765
SUULD,1088103
SUVEN,946968
SUVENPHAR,1159071
SUVIDHAA,1172494
SUZLON,18413
SVPGLOB,988663
SWANENERGY,39911
SWARAJENG,18414
SWELECTES,946808
HLEGLAS,988668
SYMPHONY,947411
SYNGENE,958336
TAINWALCHM,946760
TAJGVK,18416
TAKE,947259
TALBROAUTO,946658
TNPL,18434
TNPETRO,946758
TNTELE,946729
TANLA,943829
TANTIACONS,946909
TARAPUR,946910
TARMAT,947432
TASTYBITE,988681
TATACHEM,18417
TATACOFFEE,18418
TATACOMM,18419
TCS,18420
TATAELXSI,18421
TATACONSUM,18422
TATAINVEST,18423
TATAMETALI,18424
TATAMOTORS,18425
TATAPOWER,18426
TATASTLLP,18427
TATASTEEL,18428
TTML,39920
TATVA,1175426
TCIDEVELOP,947261
TCIEXP,994425
TCIFINANCE,947362
TCNSBRANDS,1088705
TCPLPACK,988692
TDPOWERSYS,100250
TEAMLEASE,963738
TECHIN,947139
TECHM,18429
TIIL,946694
TECHNOE,39912
TEJASNET,1013404
TERASOFT,994741
TEXINFRA,946722
TEXRAIL,39913
TEXMOPIPES,946866
TGBHOTELS,946872
DHAMPURSUG,18095
FEDERALBNK,18125
INDIACEM,18204
INDHOTEL,18210
KTKBANK,18254
THEMISMED,947203
ORISSAMINE,18322
HUHTAMAKI,18328
PHOENIXLTD,18336
THERMAX,18430
SOUTHBANK,18395
STCINDIA,18398
TINPLATE,18432
TIRUMALCHM,946912
THOMASCOOK,18431
THOMASCOTT,946978
THYROCARE,978765
TIDEWATER,946757
TIJARIA,947041
TI,946857
TIL,947459
TIMESGTY,947260
TIMETECHNO,39915
TIMKEN,39916
TIPSINDLTD,947204
TIRUPATIFL,1161620
TWL,39917
TITAN,18433
TOKYOPLAST,946672
TORNTPHARM,18435
TORNTPOWER,18436
TOTAL,1031176
TOUCHWOOD,1057261
TFCILTD,946650
TPLPLASTEH,953901
TRIL,946920
TCI,946918
TFL,946833
TREEHOUSE,39914
TREJHARA,1116500
TRENT,18437
TRF,947461
TBZ,100251
TRIDENT,100252
TRIGYN,946970
TRIVENI,946870
TRITURBINE,39918
TTKHLTCARE,961994
TTKPRESTIG,39919
TIINDIA,1055947
CHOLAHLDNG,18438
TV18BRDCST,18441
TVSELECT,947205
TVSMOTOR,18442
TVSSRICHAK,947306
TVTODAY,18440
TVVISION,989491
21STCENMGM,988746
UCALFUEL,947080
UCOBANK,18443
UFLEX,18444
UFO,953118
UGARSUGAR,947141
UJAAS,947338
UJJIVAN,978766
UJJIVANSFB,1155839
ULTRACEMCO,18445
UMANGDAIRY,961995
UNICHEMLAB,18446
UNIONBANK,18447
UNIENTER,946971
UNITECH,18448
UBL,18449
UNIDT,988759
UNITEDTEA,946651
UPL,18450
MCDOWELL-N,18451
UNIVASTU,1031177
UNIVCABLES,947142
UNIVPHOTO,1161624
URJA,999083
USHAMART,18453
UMESLTD,946625
UTIAMC,1166568
UTTAMSTL,18454
UTTAMSUGAR,947082
V2RETAIL,947399
VADILALIND,947028
VAIBHAVGBL,100272
VAISHALI,1043260
VAKRANGEE,39923
VALIANTORG,992936
ANUPAM,988801
VARDHACRLC,947083
VHL,947085
VARDMNPOLY,947143
VSSL,946759
VTL,39924
VARROC,1084838
VBL,993204
VASCONEQ,947144
VASWANI,947027
WABAG,39925
VENKEYS,18457
VENUSREM,947264
VERTOZ,1055837
VESUVIUS,18458
VETO,946861
VGUARD,39926
VICEROY,947265
VIDHIING,969124
VIJIFIN,985924
VIKASECO,947208
VIKASPROP,988808
VIKASLIFE,1135892
VIKASWSP,39843
VIMTALABS,947380
VINATIORGA,947206
VINDHYATEL,947042
VINYLINDIA,946858
VIPIND,18461
VIPULLTD,951029
VIVIDHA,947207
VISAKAIND,947084
VISASTEEL,947381
VISHALBL,960939
VISHNU,945931
VISHWARAJ,1153028
VIVIMEDLAB,947340
VLSFINANCE,947308
VMART,947307
VOLTAMP,946913
VOLTAS,18462
VRLLOG,953119
VSTIND,18463
WABCOINDIA,39927
WALCHANNAG,946819
WANBURY,947422
WATERBASE,988859
WEALTH,976213
WEBELSOLAR,946915
DELPHIFX,947266
WEIZMANIND,947412
GENCON,963768
WELCORP,18464
WELENTRP,946973
WELSPUNIND,100273
WELINV,946775
AYMSYNTEX,959107
WENDT,947364
WSTCSTPAPR,18465
WIPL,1008740
WESTLIFE,945747
WHEELS,947341
WHIRLPOOL,18466
WILLAMAGOR,946873
WINDLAS,1175849
WINDMACHIN,947147
WIPRO,18467
WOCKPHARMA,18468
WONDERLA,947086
WORTH,1052444
XCHANGING,946974
XELPMOC,1121797
XPROINDIA,947382
YESBANK,18470
ZEEL,18471
ZEELEARN,947400
ZEEMEDIA,947209
ZENITHEXPO,947211
ZENSARTECH,18472
ZODIACLOTH,18473
ZODJRDMKJ,947267
ZOMATO,1174991
ZOTA,1136779
ZUARI,946916
ZUARIGLOB,18474
ZYDUSWELL,18475
