stocks,niftycode,pid
NIIT,NIITLTD,18296
NMDC,NMDC,18309
NTPC,NTPC,18297
OIL-INDIA,OIL,18313
OIL---NATURAL-GAS-CORPORATION,ONGC,18311
ORACLE-FINANCIAL-SOFTWARE,OFSS,18316
ORIENTAL-BANK-OF-COMMERCE,ORIENTBANK,18321
PAGE-INDUSTRIES,PAGEIND,18325
PC-JEWELLER-LTD,PCJEWELLER,39896
PETRONET-LNG,PETRONET,18334
PIDILITE-INDUSTRIES,PIDILITIND,18337
PIRAMAL-HEALTHCARE,PEL,18339
POWER-FINANCE-CORPORATION,PFC,18341
POWER-GRID-CORP.-OF-INDIA,POWERGRID,18342
PTC-INDIA,PTC,18348
PUNJAB-NATIONAL-BANK,PNB,18350
PVRL,PVR,100260
RAMCO-INDUSTRIES,RAMCOIND,18355
RAYMOND,RAYMOND,18358
RBL-BANK-LTD,RBLBANK,987147
RELIANCE-CAPITAL,RELCAPITAL,18361
RELIANCE-COMMUNICATIONS,RCOM,18362
RELIANCE-INDUSTRIES,RELIANCE,18367
RELIANCE-INFRASTRUCTURE,RELINFRA,18364
RELIANCE-POWER,RPOWER,18366
REPCO-HOME-FINANCE-LTD,REPCOHOME,947017
RURAL-ELECTRIFICATION,RECLTD,18371
SESA-GOA,VEDL,18377
SESA-GOA-NEWS,,18377
SESA-GOA-TECHNICAL,,18377
SHREE-CEMENTS,SHREECEM,18383
SHRIRAM-TRANSPORT-FINANCE,SRTRANSFIN,18386
SIEMENS-LTD,SIEMENS,18387
SKS-MICROFINANCE,BHARATFIN,18391
SREI-INFRASTRUCTURE-FINANCE,SREINFRA,18396
SRF,SRF,18397
STATE-BANK-OF-INDIA,SBIN,18376
STEEL-AUTHORITY-OF-INDIA,SAIL,18399
SUN-PHARMA-ADVANCED-RESEARCH,SUNPHARMA,18405
SUN-TV-NETWORK,SUNTV,18406
SUZLON-ENERGY,SUZLON,18413
SYNDICATE-BANK,SYNDIBANK,18415
TATA-CHEMICALS,TATACHEM,18417
TATA-COMMUNICATIONS,TATACOMM,18419
TATA-CONSULTANCY-SERVICES,TCS,18420
TATA-ELXSI-LIMITED,TATAELXSI,18421
TATA-GLOBAL-BEVERAGES,TATACONSUM,18422
TATA-MOTORS-DV-LTD,TATAMTRDVR,947268
TATA-MOTORS-LTD,TATAMOTORS,18425
TATA-POWER-COMPANY,TATAPOWER,18426
TATA-STEEL,TATASTEEL,18428
TECH-MAHINDRA,TECHM,18429
THE-FEDERAL-BANK,FEDERALBNK,18125
THE-INDIA-CEMENTS-LIMITED,INDIACEM,18204
THE-KARNATAKA-BANK,KTKBANK,18254
THE-SOUTH-INDIAN-BANK,SOUTHBANK,18395
TITAN-INDUSTRIES,TITAN,18433
TORRENT-PHARMACEUTICALS,TORNTPHARM,18435
TV18-BROADCAST,TVBRDCST,18441
TVS-MOTOR-COMPANY,TVSMOTOR,18442
UJJIVAN-FINANCIAL-SERVICES-LTD,UJJIVAN,978766
ULTRATECH-CEMENT,ULTRACEMCO,18445
UNION-BANK-OF-INDIA,UNIONBANK,18447
UNITED-BREWERIES,UBL,18449
UNITED-PHOSPHORUS,UPL,18450
V-GUARD-INDUSTRIES-LTD,VGUARD,39926
VOLTAS,VOLTAS,18462
WIPRO-LTD,WIPRO,18467
WOCKHARDT,WOCKPHARMA,18468
YES-BANK,YESBANK,18470
ZEE-ENTERTAINMENT-ENTERPRISES,,18471
BANK-NIFTY,,17950
S-P-CNX-NIFTY,,17940
