ScripName,ExpiryDate,Threshold
LICHSGFIN,29-Apr-21,1
LICHSGFIN,27-May-21,1
LUPIN,29-Apr-21,1
LUPIN,27-May-21,1
MGL,29-Apr-21,1
MGL,27-May-21,1
M&MFIN,29-Apr-21,1
M&MFIN,27-May-21,1
M&M,29-Apr-21,1
M&M,27-May-21,1
MANAPPURAM,29-Apr-21,1
MANAPPURAM,27-May-21,1
MARICO,29-Apr-21,1
MARICO,27-May-21,1
MARUTI,29-Apr-21,1
MARUTI,27-May-21,1
MFSL,29-Apr-21,1
MFSL,27-May-21,1
MINDTREE,29-Apr-21,1
MINDTREE,27-May-21,1
MOTHERSUMI,29-Apr-21,1
MOTHERSUMI,27-May-21,1
MPHASIS,29-Apr-21,1
MPHASIS,27-May-21,1
MRF,29-Apr-21,1
MRF,27-May-21,1
MUTHOOTFIN,29-Apr-21,1
MUTHOOTFIN,27-May-21,1
NATIONALUM,29-Apr-21,1
NATIONALUM,27-May-21,1
NAVINFLUOR,29-Apr-21,1
NAVINFLUOR,27-May-21,1
NESTLEIND,29-Apr-21,1
NESTLEIND,27-May-21,1
NAM-INDIA,29-Apr-21,1
NAM-INDIA,27-May-21,1
NMDC,29-Apr-21,1
NMDC,27-May-21,1
NTPC,29-Apr-21,1
NTPC,27-May-21,1
ONGC,29-Apr-21,1
ONGC,27-May-21,1
PAGEIND,29-Apr-21,1
PAGEIND,27-May-21,1
PETRONET,29-Apr-21,1
PETRONET,27-May-21,1
PFIZER,29-Apr-21,1
PFIZER,27-May-21,1
PIIND,29-Apr-21,1
PIIND,27-May-21,1
PIDILITIND,29-Apr-21,1
PIDILITIND,27-May-21,1
PEL,29-Apr-21,1
PEL,27-May-21,1
PFC,29-Apr-21,1
PFC,27-May-21,1
POWERGRID,29-Apr-21,1
POWERGRID,27-May-21,1
PNB,29-Apr-21,1
PNB,27-May-21,1
PVR,29-Apr-21,1
PVR,27-May-21,1
RBLBANK,29-Apr-21,1
RBLBANK,27-May-21,1
RELIANCE,29-Apr-21,1
RELIANCE,27-May-21,1
RECLTD,29-Apr-21,1
RECLTD,27-May-21,1
SBILIFE,29-Apr-21,1
SBILIFE,27-May-21,1
SHREECEM,29-Apr-21,1
SHREECEM,27-May-21,1
SRTRANSFIN,29-Apr-21,1
SRTRANSFIN,27-May-21,1
SIEMENS,29-Apr-21,1
SIEMENS,27-May-21,1
SRF,29-Apr-21,1
SRF,27-May-21,1
SBIN,29-Apr-21,1
SBIN,27-May-21,1
SAIL,29-Apr-21,1
SAIL,27-May-21,1
SUNPHARMA,29-Apr-21,1
SUNPHARMA,27-May-21,1
SUNTV,29-Apr-21,1
SUNTV,27-May-21,1
TATACHEM,29-Apr-21,1
TATACHEM,27-May-21,1
TCS,29-Apr-21,1
TCS,27-May-21,1
TATACONSUM,29-Apr-21,1
TATACONSUM,27-May-21,1
TATAMOTORS,29-Apr-21,1
TATAMOTORS,27-May-21,1
TATAPOWER,29-Apr-21,1
TATAPOWER,27-May-21,1
TATASTEEL,29-Apr-21,1
TATASTEEL,27-May-21,1
TECHM,29-Apr-21,1
TECHM,27-May-21,1
FEDERALBNK,29-Apr-21,1
FEDERALBNK,27-May-21,1
RAMCOCEM,29-Apr-21,1
RAMCOCEM,27-May-21,1
TITAN,29-Apr-21,1
TITAN,27-May-21,1
TORNTPHARM,29-Apr-21,1
TORNTPHARM,27-May-21,1
TORNTPOWER,29-Apr-21,1
TORNTPOWER,27-May-21,1
TRENT,29-Apr-21,1
TRENT,27-May-21,1
TVSMOTOR,29-Apr-21,1
TVSMOTOR,27-May-21,1
ULTRACEMCO,29-Apr-21,1
ULTRACEMCO,27-May-21,1
UBL,29-Apr-21,1
UBL,27-May-21,1
MCDOWELL-N,29-Apr-21,1
MCDOWELL-N,27-May-21,1
UPL,29-Apr-21,1
UPL,27-May-21,1
VEDL,29-Apr-21,1
VEDL,27-May-21,1
VOLTAS,29-Apr-21,1
VOLTAS,27-May-21,1
WIPRO,29-Apr-21,1
WIPRO,27-May-21,1
ZEEL,29-Apr-21,1
ZEEL,27-May-21,1
XYZ,27-May-21,1
