date,label,value
"2021-08-27 11:27:35",17100-CE,4.71
"2021-08-27 11:27:35",17100-PE,0.15
"2021-08-27 11:27:35",17150-CE,0.38
"2021-08-27 11:27:35",17150-PE,0.09
"2021-08-27 11:28:59",17100-CE,4.71
"2021-08-27 11:28:59",17100-PE,0.15
"2021-08-27 11:28:59",17150-CE,0.38
"2021-08-27 11:28:59",17150-PE,0.09
"2021-08-27 11:30:20",17100-CE,4.73
"2021-08-27 11:30:20",17100-PE,0.15
"2021-08-27 11:30:20",17150-CE,0.38
"2021-08-27 11:30:20",17150-PE,0.09
"2021-08-27 11:31:41",17100-CE,4.73
"2021-08-27 11:31:41",17100-PE,0.15
"2021-08-27 11:31:41",17150-CE,0.38
"2021-08-27 11:31:41",17150-PE,0.09
"2021-08-27 11:33:05",17100-CE,4.73
"2021-08-27 11:33:05",17100-PE,0.15
"2021-08-27 11:33:05",17150-CE,0.38
"2021-08-27 11:33:05",17150-PE,0.09
"2021-08-27 11:34:29",17100-CE,4.73
"2021-08-27 11:34:29",17100-PE,0.15
"2021-08-27 11:34:29",17150-CE,0.38
"2021-08-27 11:34:29",17150-PE,0.09
"2021-08-27 11:35:51",17100-CE,4.73
"2021-08-27 11:35:51",17100-PE,0.15
"2021-08-27 11:35:51",17150-CE,0.38
"2021-08-27 11:35:51",17150-PE,0.09
"2021-08-27 11:37:16",17100-CE,4.88
"2021-08-27 11:37:16",17100-PE,0.15
"2021-08-27 11:37:16",17150-CE,0.39
"2021-08-27 11:37:16",17150-PE,0.09
"2021-08-27 11:38:41",17100-CE,4.88
"2021-08-27 11:38:41",17100-PE,0.16
"2021-08-27 11:38:41",17150-CE,0.39
"2021-08-27 11:38:41",17150-PE,0.09
"2021-08-27 11:40:11",17100-CE,5.02
"2021-08-27 11:40:11",17100-PE,0.16
"2021-08-27 11:40:11",17150-CE,0.4
"2021-08-27 11:40:11",17150-PE,0.09
"2021-08-27 11:42:00",17100-CE,5.02
"2021-08-27 11:42:00",17100-PE,0.16
"2021-08-27 11:42:00",17150-CE,0.4
"2021-08-27 11:42:00",17150-PE,0.09
"2021-08-27 11:43:27",17100-CE,4.95
"2021-08-27 11:43:27",17100-PE,0.16
"2021-08-27 11:43:27",17150-CE,0.4
"2021-08-27 11:43:27",17150-PE,0.09
"2021-08-27 11:45:02",17100-CE,4.95
"2021-08-27 11:45:02",17100-PE,0.16
"2021-08-27 11:45:02",17150-CE,0.4
"2021-08-27 11:45:02",17150-PE,0.09
"2021-08-27 11:46:32",17100-CE,4.95
"2021-08-27 11:46:32",17100-PE,0.16
"2021-08-27 11:46:32",17150-CE,0.4
"2021-08-27 11:46:32",17150-PE,0.09
"2021-08-27 11:48:01",17100-CE,4.88
